"Year","Trade.Flow","Reporter","Commodity.Code","Trade.Value..US..","Group"
2013,"Imports","Kyrgyzstan",801,4124,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,828,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,436,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,4052,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,4052,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",801,4270,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Rep. of Moldova",801,392,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",801,117,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",801,401,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",801,320,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",801,34,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Kyrgyzstan",801,772,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",801,668,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Kyrgyzstan",801,772,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Kyrgyzstan",801,483,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,582,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,21,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,365,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,66,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,117,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,232,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,168,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,323,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,89,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,280,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,871,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",801,249,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,155,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,792,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,347,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,269,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,579,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,116,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,477,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,356,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,641,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Kyrgyzstan",801,306,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",801,25,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",801,194,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Armenia",801,64,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",801,185,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Armenia",801,249,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",801,279,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",801,427,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",801,137,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Azerbaijan",801,1674,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Azerbaijan",801,1034,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Kyrgyzstan",801,201,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Kyrgyzstan",801,499,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Kyrgyzstan",801,490,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Kyrgyzstan",801,348,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Kyrgyzstan",801,1028,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Kyrgyzstan",801,552,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Kyrgyzstan",801,129,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Kyrgyzstan",801,831,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Azerbaijan",801,500,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Azerbaijan",801,273,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",801,258,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",801,5708,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",801,4513,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",801,2613,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",801,8144,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,814,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,550,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,613,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,555,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,608,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,173,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,642,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,666,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,1882,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,15,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",801,187,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Azerbaijan",801,570,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Azerbaijan",801,368,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Azerbaijan",801,284,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Armenia",801,4502,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Armenia",801,22251,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Armenia",801,243,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Armenia",801,2741,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Armenia",801,115,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Armenia",801,92,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Armenia",801,158,"СНГ, без Казахстана и Беларуси"
2018,"Exports","Ukraine",801,7,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,1357,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,2273,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,264,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,598,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,1085,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,491,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,342,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,163,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,372,"СНГ, без Казахстана и Беларуси"
2018,"Imports","Kyrgyzstan",801,1657,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Azerbaijan",801,737,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Azerbaijan",801,7370,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Azerbaijan",801,1110,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,446,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,45005,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,30310,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,111685,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,28165,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,30876,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,21368,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,31,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,506,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Armenia",801,103,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,126,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,206,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,841,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Rep. of Moldova",801,54,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Rep. of Moldova",801,27,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,52,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,2241,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,3174,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,754,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,165,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,1611,"СНГ, без Казахстана и Беларуси"
2019,"Imports","Kyrgyzstan",801,115,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Azerbaijan",801,820,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Azerbaijan",801,85,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Azerbaijan",801,1313,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Azerbaijan",801,58,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Azerbaijan",801,241,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Azerbaijan",801,566,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Rep. of Moldova",801,79,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Rep. of Moldova",801,114,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Rep. of Moldova",801,113,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Rep. of Moldova",801,85,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Rep. of Moldova",801,54,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Rep. of Moldova",801,114,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Rep. of Moldova",801,125,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,40795,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,23543,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,219,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,152,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,2743,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,14865,"СНГ, без Казахстана и Беларуси"
2020,"Exports","Armenia",801,24,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,105,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,521,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,1340,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Armenia",801,115,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,2128,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,2720,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,259,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,85,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,2647,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,163,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,3421,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,422,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,7114,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,1865,"СНГ, без Казахстана и Беларуси"
2020,"Imports","Kyrgyzstan",801,2206,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",802,418241,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",802,290551,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",802,396245,"СНГ, без Казахстана и Беларуси"
2010,"Exports","Ukraine",802,296343,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Rep. of Moldova",802,149966,"СНГ, без Казахстана и Беларуси"
2011,"Re-exports","Rep. of Moldova",802,149600,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Rep. of Moldova",802,307133,"СНГ, без Казахстана и Беларуси"
2011,"Re-exports","Rep. of Moldova",802,298716,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Rep. of Moldova",802,255936,"СНГ, без Казахстана и Беларуси"
2011,"Re-exports","Rep. of Moldova",802,247686,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Ukraine",802,169185,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Ukraine",802,416083,"СНГ, без Казахстана и Беларуси"
2011,"Imports","Armenia",802,132,"СНГ, без Казахстана и Беларуси"
2011,"Exports","Kyrgyzstan",802,1063,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Kyrgyzstan",802,9140,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Kyrgyzstan",802,6740,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Kyrgyzstan",802,3900,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Kyrgyzstan",802,9140,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Rep. of Moldova",802,111610,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Rep. of Moldova",802,145200,"СНГ, без Казахстана и Беларуси"
2012,"Re-exports","Rep. of Moldova",802,88000,"СНГ, без Казахстана и Беларуси"
2012,"Re-exports","Rep. of Moldova",802,145200,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Rep. of Moldova",802,27818,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Rep. of Moldova",802,110000,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Rep. of Moldova",802,486057,"СНГ, без Казахстана и Беларуси"
2012,"Re-exports","Rep. of Moldova",802,110000,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Rep. of Moldova",802,104788,"СНГ, без Казахстана и Беларуси"
2012,"Re-exports","Rep. of Moldova",802,387283,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Rep. of Moldova",802,261802,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Rep. of Moldova",802,266,"СНГ, без Казахстана и Беларуси"
2012,"Re-exports","Rep. of Moldova",802,154000,"СНГ, без Казахстана и Беларуси"
2012,"Re-exports","Rep. of Moldova",802,266,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Ukraine",802,291474,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Kyrgyzstan",802,3900,"СНГ, без Казахстана и Беларуси"
2012,"Exports","Kyrgyzstan",802,6740,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Kyrgyzstan",802,498,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Kyrgyzstan",802,498,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Kyrgyzstan",802,498,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Kyrgyzstan",802,498,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,150,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,183,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,157748,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,377111,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,661,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,289949,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Azerbaijan",802,158823,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Azerbaijan",802,212236,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Rep. of Moldova",802,55500,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,321884,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,198,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Kyrgyzstan",802,498,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Kyrgyzstan",802,148,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Azerbaijan",802,122724,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Azerbaijan",802,463930,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,4685,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Ukraine",802,4529,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Azerbaijan",802,114233,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Azerbaijan",802,40233,"СНГ, без Казахстана и Беларуси"
2013,"Imports","Azerbaijan",802,80430,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Kyrgyzstan",802,498,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Kyrgyzstan",802,498,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Kyrgyzstan",802,498,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Azerbaijan",802,72000,"СНГ, без Казахстана и Беларуси"
2013,"Exports","Azerbaijan",802,160510,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Azerbaijan",802,78000,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Rep. of Moldova",802,20000,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Armenia",802,2493,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",802,10,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",802,21784,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",802,45,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",802,7582,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Armenia",802,4365,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,24,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,163682,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,22,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,1,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,270595,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,21,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,214153,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,9911,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,223744,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,258825,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,300619,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Ukraine",802,21,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Azerbaijan",802,11283,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Azerbaijan",802,105369,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",802,29971,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Armenia",802,3662,"СНГ, без Казахстана и Беларуси"
2014,"Exports","Armenia",802,1123,"СНГ, без Казахстана и Беларуси"
2014,"Imports","Armenia",802,18,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Rep. of Moldova",802,103,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Rep. of Moldova",802,19800,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Rep. of Moldova",802,6480,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Rep. of Moldova",802,24000,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",802,137,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",802,53,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Armenia",802,395,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Azerbaijan",802,11737,"СНГ, без Казахстана и Беларуси"
2015,"Imports","Azerbaijan",802,37560,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Kyrgyzstan",802,161500,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Kyrgyzstan",802,18936,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Azerbaijan",802,296307,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Ukraine",802,18,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Kyrgyzstan",802,5960,"СНГ, без Казахстана и Беларуси"
2015,"Exports","Kyrgyzstan",802,26407,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Rep. of Moldova",802,4110,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Azerbaijan",802,33021,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Azerbaijan",802,54675,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Ukraine",802,30,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Armenia",802,554,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",802,19,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",802,14,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Armenia",802,254,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Azerbaijan",802,53880,"СНГ, без Казахстана и Беларуси"
2016,"Imports","Azerbaijan",802,54068,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Kyrgyzstan",802,38633,"СНГ, без Казахстана и Беларуси"
2016,"Exports","Kyrgyzstan",802,32135,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Azerbaijan",802,75328,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Azerbaijan",802,25000,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,12000,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,59815,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,50320,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,46722,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,32843,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,18600,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",802,13655,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,54429,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",802,981,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,17852,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",802,1753,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Armenia",802,9381,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Armenia",802,58797,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Azerbaijan",802,77250,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Azerbaijan",802,28958,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Ukraine",802,13,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Kyrgyzstan",802,73096,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Kyrgyzstan",802,95254,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Kyrgyzstan",802,29124,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Kyrgyzstan",802,8701,"СНГ, без Казахстана и Беларуси"
2017,"Imports","Kyrgyzstan",802,1800,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Kyrgyzstan",802,29145,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Kyrgyzstan",802,147456,"СНГ, без Казахстана и Беларуси"
2017,"Exports","Ukraine",802,9,"СНГ, без Казахстана и Беларуси"
